ID,time,mortality_signal
AL-2020-02,2020-02-05T14:02:40Z,0
AL-2020-02,2020-02-05T20:01:04Z,0
AL-2020-02,2020-02-06T02:59:12Z,0
AL-2020-02,2020-02-07T03:01:20Z,0
AL-2020-02,2020-02-07T20:01:04Z,0
AL-2020-02,2020-02-08T14:00:32Z,0
AL-2020-02,2020-02-10T02:59:12Z,0
AL-2020-02,2020-02-10T19:58:56Z,0
AL-2020-02,2020-02-11T13:58:24Z,0
AL-2020-02,2020-02-13T03:01:20Z,0
AL-2020-02,2020-02-13T20:01:04Z,0
AL-2020-02,2020-02-14T14:00:32Z,0
AL-2020-02,2020-02-16T02:59:12Z,0
AL-2020-02,2020-02-16T19:58:56Z,0
AL-2020-02,2020-02-17T13:58:24Z,0
AL-2020-02,2020-02-19T03:01:20Z,0
AL-2020-02,2020-02-19T20:01:04Z,0
AL-2020-02,2020-02-20T14:00:32Z,0
AL-2020-02,2020-02-22T02:59:12Z,0
AL-2020-02,2020-02-22T19:58:56Z,0
AL-2020-02,2020-02-23T14:02:40Z,0
AL-2020-02,2020-02-25T03:01:20Z,0
AL-2020-02,2020-02-25T20:01:04Z,0
AL-2020-02,2020-02-26T14:00:32Z,0
AL-2020-02,2020-02-28T02:59:12Z,0
AL-2020-02,2020-02-28T20:03:12Z,0
AL-2020-02,2020-03-01T14:00:32Z,0
AL-2020-02,2020-03-02T20:01:04Z,0
AL-2020-02,2020-03-03T14:00:32Z,0
AL-2020-02,2020-03-06T20:01:04Z,0
AL-2021-10,2021-02-10T16:59:44Z,0
AL-2021-10,2021-02-15T17:01:52Z,0
AL-2021-10,2021-02-17T05:00:48Z,0
AL-2021-10,2021-02-18T16:59:44Z,0
AL-2021-10,2021-02-20T04:58:40Z,0
AL-2021-10,2021-02-21T17:01:52Z,0
AL-2021-10,2021-02-23T05:00:48Z,0
AL-2021-10,2021-02-24T16:59:44Z,0
AL-2021-10,2021-02-26T04:58:40Z,0
AL-2021-10,2021-02-27T17:01:52Z,0
AL-2021-10,2021-03-01T05:00:48Z,0
AL-2021-10,2021-03-02T16:59:44Z,0
AL-2021-10,2021-03-04T04:58:40Z,0
AL-2021-10,2021-03-05T17:01:52Z,0
AL-2021-10,2021-03-07T05:00:48Z,0
AL-2021-10,2021-03-08T16:59:44Z,0
AL-2021-10,2021-03-10T04:58:40Z,0
AL-2021-10,2021-03-11T17:01:52Z,0
AL-2021-10,2021-03-13T05:00:48Z,0
AL-2021-10,2021-03-14T16:00:00Z,0
AL-2021-10,2021-03-17T16:02:08Z,0
AL-2021-10,2021-03-19T04:01:04Z,0
AL-2021-10,2021-03-20T16:00:00Z,0
AL-2021-10,2021-03-22T03:58:56Z,0
AL-2021-10,2021-03-23T16:02:08Z,0
AL-2021-10,2021-03-25T04:01:04Z,0
AL-2021-10,2021-03-26T16:00:00Z,0
AL-2021-10,2021-03-28T03:58:56Z,0
AL-2021-10,2021-03-29T16:02:08Z,0
AL-2021-10,2021-03-31T04:01:04Z,0
AL-2021-10,2021-04-01T16:00:00Z,0
AL-2021-10,2021-04-03T03:58:56Z,0
AL-2021-10,2021-04-04T16:02:08Z,0
AL-2021-10,2021-04-06T04:01:04Z,0
AL-2021-10,2021-04-07T16:00:00Z,0
AL-2021-10,2021-04-09T03:58:56Z,0
AL-2021-10,2021-04-10T16:02:08Z,0
AL-2021-10,2021-04-12T04:01:04Z,0
AL-2021-10,2021-04-13T16:00:00Z,0
AL-2021-10,2021-04-15T03:58:56Z,0
AL-2021-10,2021-04-18T04:01:04Z,0
AL-2021-10,2021-04-19T16:00:00Z,0
AL-2021-10,2021-04-21T03:58:56Z,0
AL-2021-10,2021-04-24T04:01:04Z,0
AL-2021-10,2021-04-28T16:02:08Z,0
AL-2021-10,2021-04-30T04:01:04Z,0
AL-2021-10,2021-05-01T16:00:00Z,0
AL-2021-10,2021-05-03T03:58:56Z,0
AL-2021-10,2021-05-04T16:02:08Z,0
AL-2021-10,2021-05-06T04:01:04Z,0
AL-2021-10,2021-05-07T16:00:00Z,0
AL-2021-10,2021-05-09T03:58:56Z,0
AL-2021-10,2021-05-10T16:02:08Z,0
AL-2021-10,2021-05-12T04:01:04Z,0
AL-2021-10,2021-05-13T16:00:00Z,0
AL-2021-10,2021-05-15T03:58:56Z,0
AL-2021-10,2021-05-16T16:02:08Z,0
AL-2021-10,2021-05-18T04:01:04Z,0
AL-2021-10,2021-05-19T16:00:00Z,0
AL-2021-10,2021-05-21T03:58:56Z,0
AL-2021-10,2021-05-22T16:02:08Z,0
AL-2021-10,2021-05-24T04:01:04Z,0
AL-2021-10,2021-05-27T03:58:56Z,0
AL-2021-10,2021-05-30T04:01:04Z,0
AL-2021-10,2021-05-31T16:00:00Z,0
AL-2021-10,2021-06-02T03:58:56Z,0
AL-2021-10,2021-06-03T16:02:08Z,0
AL-2021-10,2021-06-05T04:01:04Z,0
AL-2021-10,2021-06-06T16:00:00Z,0
AL-2021-10,2021-06-08T03:58:56Z,0
AL-2021-10,2021-06-09T16:02:08Z,0
AL-2021-10,2021-06-11T04:01:04Z,0
AL-2021-10,2021-06-12T16:00:00Z,0
AL-2021-10,2021-06-14T03:58:56Z,0
AL-2021-10,2021-06-15T16:02:08Z,0
AL-2021-10,2021-06-20T16:00:00Z,0
AL-2021-10,2021-06-25T16:02:08Z,0
AL-2021-10,2021-06-30T16:00:00Z,0
AL-2021-10,2021-07-05T16:02:08Z,0
AL-2021-10,2021-07-10T16:00:00Z,0
AL-2021-10,2021-07-15T16:02:08Z,0
AL-2021-10,2021-07-20T16:00:00Z,0
AL-2021-10,2021-07-25T16:02:08Z,0
AL-2021-10,2021-07-30T16:00:00Z,0
AL-2021-10,2021-08-04T16:02:08Z,0
AL-2021-10,2021-08-09T16:00:00Z,0
AL-2021-10,2021-08-14T16:02:08Z,0
AL-2021-10,2021-08-19T16:00:00Z,0
AL-2021-10,2021-08-24T16:02:08Z,0
AL-2021-10,2021-08-29T16:00:00Z,0
AL-2021-10,2021-09-03T16:02:08Z,0
AL-2021-10,2021-09-08T16:00:00Z,0
AL-2022-14,2022-02-13T16:59:44Z,0
AL-2022-14,2022-02-15T15:00:16Z,0
AL-2022-14,2022-02-17T18:59:12Z,0
AL-2022-14,2022-02-19T15:00:16Z,0
AL-2022-14,2022-02-21T18:59:12Z,0
AL-2022-14,2022-02-23T15:00:16Z,0
AL-2022-21,2022-02-13T16:59:44Z,0
AL-2022-21,2022-02-15T15:00:16Z,0
AL-2022-21,2022-02-19T15:00:16Z,0
AL-2022-21,2022-02-21T18:59:12Z,0
AL-2022-21,2022-02-23T15:00:16Z,0
AL-2022-21,2022-02-25T18:59:12Z,0
AL-2022-21,2022-03-01T18:59:12Z,0
AL-2022-21,2022-03-05T18:59:12Z,0
AL-2022-21,2022-03-09T18:59:12Z,0
AL-2022-21,2022-03-13T18:59:12Z,0
AL-2022-21,2022-03-15T15:00:16Z,0
AL-2022-21,2022-03-19T15:00:16Z,0
AL-2022-21,2022-03-21T18:59:12Z,0
AL-2022-21,2022-03-23T15:00:16Z,0
AL-2022-21,2022-03-25T18:59:12Z,0
AL-2022-21,2022-03-27T15:00:16Z,0
AL-2022-21,2022-03-29T18:59:12Z,0
AL-2022-21,2022-03-31T15:00:16Z,0
AL-2022-21,2022-04-02T18:59:12Z,0
AL-2022-21,2022-04-04T15:00:16Z,0
AL-2022-21,2022-04-06T18:59:12Z,0
AL-2022-21,2022-04-08T15:00:16Z,0
AL-2022-21,2022-04-10T18:59:12Z,0
AL-2022-21,2022-04-12T15:00:16Z,0
AL-2022-21,2022-04-14T18:59:12Z,0
AL-2022-21,2022-04-16T15:00:16Z,0
AL-2022-21,2022-04-18T18:59:12Z,0
AL-2022-21,2022-04-20T15:00:16Z,0
AL-2022-21,2022-04-22T18:59:12Z,0
AL-2022-21,2022-04-24T15:00:16Z,0
AL-2022-21,2022-04-26T18:59:12Z,0
AL-2022-21,2022-04-28T15:00:16Z,0
AL-2022-21,2022-04-30T18:59:12Z,0
AL-2022-21,2022-05-02T15:00:16Z,0
AL-2022-21,2022-05-04T18:59:12Z,0
AL-2022-21,2022-05-06T15:00:16Z,0
AL-2022-21,2022-05-08T18:59:12Z,0
AL-2022-21,2022-05-10T15:00:16Z,0
AL-2022-21,2022-05-14T15:00:16Z,0
AL-2022-21,2022-05-16T18:59:12Z,0
AL-2022-21,2022-05-18T15:00:16Z,0
AL-2022-21,2022-05-20T18:59:12Z,0
FL-2021-04,2021-01-31T16:59:44Z,0
FL-2021-04,2021-02-05T17:01:52Z,0
FL-2021-04,2021-02-10T16:59:44Z,0
FL-2021-04,2021-02-15T17:01:52Z,0
FL-2021-04,2021-02-17T05:00:48Z,0
FL-2021-04,2021-02-18T16:59:44Z,0
FL-2021-04,2021-02-20T04:58:40Z,0
FL-2021-04,2021-02-21T17:01:52Z,0
FL-2021-04,2021-02-23T05:00:48Z,0
FL-2021-04,2021-02-24T16:59:44Z,0
FL-2021-04,2021-02-26T05:02:56Z,0
FL-2021-04,2021-02-27T17:01:52Z,0
FL-2021-04,2021-03-01T05:00:48Z,0
FL-2021-04,2021-03-02T16:59:44Z,0
FL-2021-04,2021-03-04T04:58:40Z,0
FL-2021-04,2021-03-05T17:01:52Z,0
FL-2021-04,2021-03-07T05:00:48Z,0
FL-2021-04,2021-03-08T16:59:44Z,0
FL-2021-04,2021-03-10T04:58:40Z,0
FL-2021-04,2021-03-11T17:01:52Z,0
FL-2021-04,2021-03-13T05:00:48Z,0
FL-2021-04,2021-03-14T16:00:00Z,0
FL-2021-04,2021-03-16T03:58:56Z,0
FL-2021-04,2021-03-17T16:02:08Z,0
FL-2021-04,2021-03-19T04:01:04Z,0
FL-2021-04,2021-03-20T16:00:00Z,0
FL-2021-04,2021-03-25T04:01:04Z,0
