"ID","time","mortality_signal","event_id"
"AL-2020-02","2020-02-05T14:02:40Z",0,13847383718
"AL-2020-02","2020-02-05T20:01:04Z",0,13847383719
"AL-2020-02","2020-02-06T02:59:12Z",0,13847383720
"AL-2020-02","2020-02-07T03:01:20Z",0,13858477666
"AL-2020-02","2020-02-07T20:01:04Z",0,13858477667
"AL-2020-02","2020-02-08T14:00:32Z",0,13858477668
"AL-2020-02","2020-02-10T02:59:12Z",0,13877262902
"AL-2020-02","2020-02-10T19:58:56Z",0,13877262903
"AL-2020-02","2020-02-11T13:58:24Z",0,13877262904
"AL-2020-02","2020-02-13T03:01:20Z",0,14074649604
"AL-2020-02","2020-02-13T20:01:04Z",0,14074649605
"AL-2020-02","2020-02-14T14:00:32Z",0,14074649606
"AL-2020-02","2020-02-16T02:59:12Z",0,14074647290
"AL-2020-02","2020-02-16T19:58:56Z",0,14074647291
"AL-2020-02","2020-02-17T13:58:24Z",0,14074647292
"AL-2020-02","2020-02-19T03:01:20Z",0,14074647293
"AL-2020-02","2020-02-19T20:01:04Z",0,14074647294
"AL-2020-02","2020-02-20T14:00:32Z",0,14074647295
"AL-2020-02","2020-02-22T02:59:12Z",0,14074647296
"AL-2020-02","2020-02-22T19:58:56Z",0,14074647297
"AL-2020-02","2020-02-23T14:02:40Z",0,14074647298
"AL-2020-02","2020-02-25T03:01:20Z",0,14074647299
"AL-2020-02","2020-02-25T20:01:04Z",0,14074647300
"AL-2020-02","2020-02-26T14:00:32Z",0,14074647301
"AL-2020-02","2020-02-28T02:59:12Z",0,14074640318
"AL-2020-02","2020-02-28T20:03:12Z",0,14074640319
"AL-2020-02","2020-03-01T14:00:32Z",0,14074640320
"AL-2020-02","2020-03-02T20:01:04Z",0,14073506386
"AL-2020-02","2020-03-03T14:00:32Z",0,14073506387
"AL-2020-02","2020-03-06T20:01:04Z",0,14073506388
"AL-2021-10","2021-02-10T16:59:44Z",0,17869104801
"AL-2021-10","2021-02-15T17:01:52Z",0,17869104815
"AL-2021-10","2021-02-17T05:00:48Z",0,18009745595
"AL-2021-10","2021-02-18T16:59:44Z",0,18009745600
"AL-2021-10","2021-02-20T04:58:40Z",0,17901259860
"AL-2021-10","2021-02-21T17:01:52Z",0,17901259888
"AL-2021-10","2021-02-23T05:00:48Z",0,18009745670
"AL-2021-10","2021-02-24T16:59:44Z",0,18009745718
"AL-2021-10","2021-02-26T04:58:40Z",0,18009745753
"AL-2021-10","2021-02-27T17:01:52Z",0,18009745803
"AL-2021-10","2021-03-01T05:00:48Z",0,18052008930
"AL-2021-10","2021-03-02T16:59:44Z",0,18052008957
"AL-2021-10","2021-03-04T04:58:40Z",0,18089366213
"AL-2021-10","2021-03-05T17:01:52Z",0,18089366235
